"OBJECTID","POLY_ID","LAND_AREA","WATER_AREA","FRESH_AREA","OCEAN_AREA","TOTAL_AREA"
213,8015,5398,12087,0,12087,17485
214,8016,8466,0,0,0,8466
215,8017,28874,68,68,0,28942
216,8018,13554,16549,0,16549,30103
217,8019,7709,0,0,0,7709
218,8020,35565,7521,1224,6297,43086
219,8021,7994,967,166,801,8961
220,8022,2834,4489,0,4489,7323
221,8023,3427,2757,0,2757,6184
222,9001,80348,76666,931,75735,157014
223,9002,58987,118192,2359,115833,177179
224,9003,33483,127070,0,127070,160553
225,9004,78263,76114,3731,72383,154377
226,9005,3850,14141,0,14141,17991
227,9006,122699,15224,1360,13864,137923
228,9007,4709,26299,0,26299,31008
229,9008,185105,25495,2241,23254,210600
230,9009,22234,24238,0,24238,46472
231,9010,94314,11408,665,10743,105722
232,10001,50903,109884,3165,106719,160787
233,10002,110056,270791,388,270403,380847
234,10003,12954,373,166,207,13327
235,10004,41515,575774,176,575598,617289
236,10005,8288,27521,0,27521,35809
237,11001,30480,157335,199,157136,187815
238,11002,203203,304148,12340,291808,507351
239,11003,83190,170026,3132,166894,253216
240,11004,4495,7744,0,7744,12239
241,11005,56440,5998,438,5560,62438
242,11006,46354,71223,0,71223,117577
243,11007,92724,2369,1709,660,95093
244,11008,11479,60964,0,60964,72443
245,11009,22621,0,0,0,22621
246,11010,343410,6514,6514,0,349924
247,11011,55069,142692,121,142571,197761
248,11012,26061,252,252,0,26313
249,11013,38809,666,666,0,39475
250,11014,15943,131,131,0,16074
251,11015,6207,5817,0,5817,12024
252,11016,53047,2621,0,2621,55668
253,11017,134040,7002,5541,1461,141042
254,11018,3024,0,0,0,3024
255,11019,22752,3,3,0,22755
256,11020,18979,4215,0,4215,23194
257,11021,30950,6614,560,6054,37564
258,11022,17937,1558,698,860,19495
259,11023,29002,0,0,0,29002
260,11024,38204,176,176,0,38380
261,11025,39702,1848,1848,0,41550
262,11026,28743,2547,336,2211,31290
263,11027,13474,0,0,0,13474
264,11028,178386,974,892,82,179360
265,12001,3724,49788,0,49788,53512
266,12002,22918,202375,724,201651,225293
267,12003,21968,12807,807,12000,34775
268,12004,6999,86,86,0,7085
269,12005,25397,7901,1047,6854,33298
270,12006,10247,2431,326,2105,12678
271,12007,39283,1421,405,1016,40704
272,12008,3315,5482,0,5482,8797
273,13001,32893,47562,0,47562,80455
274,13002,11482,19609,155,19454,31091
275,13003,31414,75090,302,74788,106504
276,13004,44687,131792,698,131094,176479
277,13005,17179,55997,0,55997,73176
278,13006,37571,2319,407,1912,39890
279,13007,13331,1632,0,1632,14963
280,13008,25586,348,348,0,25934
281,13009,3426,2110,242,1868,5536
282,13010,40268,576,498,78,40844
283,13011,66288,16925,2712,14213,83213
284,13012,9290,2110,0,2110,11400
285,13013,16258,1667,735,932,17925
286,13014,80610,1971,1971,0,82581
287,13015,482166,24588,24588,0,506754
288,13016,100415,2030,1887,143,102445
289,13017,45355,457,415,42,45812
290,13018,18762,134,134,0,18896
291,13019,21812,924,924,0,22736
292,13020,12982,239,239,0,13221
293,13021,11093,1291,0,1291,12384
294,13022,21655,1457,0,1457,23112
295,13023,37849,680,336,344,38529
296,13024,23534,396,396,0,23930
297,13025,6902,0,0,0,6902
298,13026,12223,26,26,0,12249
299,13027,13026,236,236,0,13262
300,13028,25806,2916,2916,0,28722
301,13029,107213,1830,1830,0,109043
302,13030,11285,278,278,0,11563
303,14001,200074,327672,511,327161,527746
304,14002,30667,195716,202,195514,226383
305,14003,14826,181675,0,181675,196501
306,14004,1153,132826,0,132826,133979
307,14005,194567,168800,525,168275,363367
308,14006,21228,102008,266,101742,123236
309,14007,23246,233679,67,233612,256925
310,14008,78958,25507,91,25416,104465
311,14009,141751,50531,532,49999,192282
312,14010,29722,11995,578,11417,41717
313,14011,19373,238192,0,238192,257565
314,14012,2558,2317,0,2317,4875
315,14013,24980,188591,0,188591,213571
316,14014,21675,5110,0,5110,26785
317,14015,4206,264632,0,264632,268838
318,14016,8678,18474,0,18474,27152
319,14017,5965,3653,0,3653,9618
320,14018,18823,191212,0,191212,210035
321,14019,47993,67043,0,67043,115036
322,14020,16111,0,0,0,16111
323,14021,85935,192487,55,192432,278422
324,14022,666,6168,0,6168,6834
325,14023,7176,9344,0,9344,16520
326,14024,8276,1,1,0,8277
327,14025,29316,72298,0,72298,101614
328,14026,45872,115016,0,115016,160888
329,14027,26102,92619,464,92155,118721
330,14028,9862,200417,0,200417,210279
331,14029,40078,153340,1901,151439,193418
332,14030,11650,1259,408,851,12909
333,14031,69068,49867,1019,48848,118935
334,14032,41941,4487,0,4487,46428
335,14033,37990,78,78,0,38068
336,14034,42383,231729,279,231450,274112
337,14035,5948,0,0,0,5948
338,14036,39007,12321,4675,7646,51328
339,14037,62986,25335,2290,23045,88321
340,14038,2653,1562,1562,0,4215
341,14039,87697,3740,1552,2188,91437
342,14040,3059,2365,1947,418,5424
343,14041,241306,208963,1336,207627,450269
344,14042,7460,2570,2570,0,10030
345,14043,2311,2026,1250,776,4337
346,14044,5515,1384,0,1384,6899
347,14045,7949,4320,0,4320,12269
348,14046,10916,4822,0,4822,15738
349,14047,156163,52567,1103,51464,208730
350,14048,5651,0,0,0,5651
351,14049,8343,35993,453,35540,44336
352,14050,20499,10710,0,10710,31209
353,14051,93244,72371,62,72309,165615
354,14052,23189,3690,0,3690,26879
355,14053,8144,1919,1281,638,10063
356,14054,28704,40292,0,40292,68996
357,14055,24308,220256,932,219324,244564
358,14056,4506,0,0,0,4506
359,14057,85638,372607,0,372607,458245
360,14058,77869,0,0,0,77869
361,14059,16846,0,0,0,16846
362,14060,56747,1596,0,1596,58343
363,14061,26082,335,0,335,26417
364,14062,11443,4067,0,4067,15510
365,14063,18383,113191,392,112799,131574
366,14064,8182,0,0,0,8182
367,14065,7161,6670,0,6670,13831
368,14066,22390,35454,326,35128,57844
369,14067,85204,1638,0,1638,86842
370,14068,42352,6850,894,5956,49202
371,15001,135799,29193,423,28770,164992
372,15002,214432,40047,1675,38372,254479
373,15003,21842,18995,121,18874,40837
374,15004,9061,0,0,0,9061
375,15005,24950,4430,0,4430,29380
376,15006,37187,11440,197,11243,48627
377,15007,9087,0,0,0,9087
378,15008,31577,18688,61,18627,50265
379,15009,55338,1514,1309,205,56852
380,15010,89329,68188,143,68045,157517
381,15011,245468,13728,2265,11463,259196
382,15012,2593,0,0,0,2593
383,15013,1511,0,0,0,1511
384,15014,6606,24,24,0,6630
385,15015,12982,572,0,572,13554
386,16001,94300,7453,0,7453,101753
387,16002,28991,0,0,0,28991
388,16003,119231,0,0,0,119231
389,16004,12568,26487,0,26487,39055
390,16005,13115,9735,0,9735,22850
391,16006,97103,20107,72,20035,117210
392,16007,5531,0,0,0,5531
393,16008,14271,2652,0,2652,16923
394,16009,10603,0,0,0,10603
395,16010,4773,4050,0,4050,8823
396,16011,155102,35059,436,34623,190161
397,16012,4456,23,23,0,4479
398,16013,14742,0,0,0,14742
399,17001,82145,455953,410,455543,538098
400,17002,132102,19231,184,19047,151333
401,17003,12775,0,0,0,12775
402,18001,97209,75150,212,74938,172359
403,18002,5376,0,0,0,5376
404,18003,17227,0,0,0,17227
405,18004,57788,40268,158,40110,98056
406,18005,63004,65012,280,64732,128016
407,18006,7772,0,0,0,7772
408,18007,21181,1989,1163,826,23170
409,18008,3242,0,0,0,3242
410,18009,14613,0,0,0,14613
411,18010,1558,9949,0,9949,11507
412,18011,10837,2190,146,2044,13027
413,18012,3790,14321,0,14321,18111
414,18013,42670,7950,324,7626,50620
415,18014,6682,836,0,836,7518
416,18015,16779,4428,74,4354,21207
417,18016,1951,10154,0,10154,12105
418,18017,111902,29572,1321,28251,141474
419,18018,23219,2658,0,2658,25877
420,18019,78997,1714,1638,76,80711
421,18020,8007,1,1,0,8008
422,18021,99214,3094,374,2720,102308
423,19001,296147,321,321,0,296468
424,19002,64562,10469,10469,0,75031
425,19003,93090,3432,3432,0,96522
426,19004,26629,0,0,0,26629
427,19005,40518,44343,44343,0,84861
428,19006,55930,0,0,0,55930
429,19007,7160,59,0,59,7219
430,19008,54675,71,71,0,54746
431,19009,43446,100,100,0,43546
432,19010,34885,231,231,0,35116
433,19011,413086,550,550,0,413636
434,19012,65177,0,0,0,65177
435,20001,151828,9988,83,9905,161816
436,20002,103639,32922,2609,30313,136561
437,20003,18288,25249,0,25249,43537
438,20004,24516,1997,1997,0,26513
439,20005,7046,19929,0,19929,26975
440,20006,126666,32359,0,32359,159025
441,20007,113619,51069,104,50965,164688
442,20008,152687,132029,0,132029,284716
443,20009,12996,2438,0,2438,15434
444,20010,126115,14053,0,14053,140168
445,20011,21132,4335,46,4289,25467
446,20012,15926,14094,0,14094,30020
447,20013,10379,687,0,687,11066
448,20014,16588,38990,0,38990,55578
449,20015,13440,33260,0,33260,46700
450,20016,12033,463,0,463,12496
451,20017,3567,0,0,0,3567
452,20018,68158,5783,0,5783,73941
453,20019,8068,22870,0,22870,30938
454,20020,13006,0,0,0,13006
455,20021,15882,64347,0,64347,80229
456,21001,18007,62320,0,62320,80327
457,21002,97665,142492,1057,141435,240157
458,21003,147819,124433,4376,120057,272252
459,21004,29677,95330,216,95114,125007
460,21005,135542,86,86,0,135628
461,21006,256360,182600,10135,172465,438960
462,21007,24037,40,40,0,24077
463,21008,166963,6926,359,6567,173889
464,21009,2921,0,0,0,2921
465,21010,30358,0,0,0,30358
466,21011,52667,532,532,0,53199
467,21012,40492,0,0,0,40492
468,21013,16541,19082,0,19082,35623
469,21014,9872,8600,0,8600,18472
470,21015,70580,376,357,19,70956
471,21016,47254,0,0,0,47254
472,21017,12735,14978,7,14971,27713
473,21018,23379,6829,1344,5485,30208
474,21019,10105,13083,1332,11751,23188
475,21020,49174,2365,0,2365,51539
476,21021,30710,0,0,0,30710
477,21022,15502,0,0,0,15502
478,21023,112976,120,120,0,113096
479,21024,56067,3665,72,3593,59732
480,21025,19419,9935,2129,7806,29354
481,21026,102413,11719,584,11135,114132
482,21027,19222,49634,0,49634,68856
483,21028,14007,1054,200,854,15061
484,21029,62643,933,933,0,63576
485,21030,16001,0,0,0,16001
486,21031,15768,0,0,0,15768
487,21032,42378,37295,2129,35166,79673
488,21033,16802,0,0,0,16802
489,21034,32964,26773,0,26773,59737
490,21035,726,0,0,0,726
491,21036,34893,0,0,0,34893
492,21037,8424,1563,1043,520,9987
493,21038,29541,303,0,303,29844
494,21039,11082,12936,0,12936,24018
495,21040,12166,4106,0,4106,16272
496,21041,20711,25883,0,25883,46594
497,21042,68791,77051,2503,74548,145842
498,21043,88865,1944,1944,0,90809
499,21044,252148,3150,2123,1027,255298
500,21045,27683,0,0,0,27683
501,21046,11384,0,0,0,11384
502,22001,291701,1831,937,894,293532
503,22002,70827,0,0,0,70827
504,22003,214162,20047,1394,18653,234209
505,22004,124511,34158,1160,32998,158669
506,22005,40126,5871,1753,4118,45997
507,22006,8673,9021,0,9021,17694
508,22007,7120,0,0,0,7120
509,22008,18281,9478,0,9478,27759
510,22009,37264,5558,0,5558,42822
511,22010,4510,0,0,0,4510
512,22011,8503,40508,0,40508,49011
513,22012,7081,9018,0,9018,16099
514,22013,8583,6455,0,6455,15038
515,22014,12309,12227,0,12227,24536
516,22015,10961,23287,2082,21205,34248
517,22016,4350,29974,0,29974,34324
518,23001,8155,13935,0,13935,22090
519,23002,23571,298,6,292,23869
520,23003,33331,133,133,0,33464
521,23004,91892,937,937,0,92829
522,23005,110534,6818,3359,3459,117352
523,23006,102774,49147,2009,47138,151921
524,23007,10399,929,31,898,11328
525,23008,10285,7504,1527,5977,17789
526,23009,24044,494,494,0,24538
527,23010,4898,2376,2376,0,7274
528,23011,7179,531,531,0,7710
529,23012,19757,1348,1348,0,21105
530,23013,8675,7258,2748,4510,15933
531,23014,24311,14040,3003,11037,38351
532,23015,45693,47433,4712,42721,93126
533,23016,51040,9904,4821,5083,60944
534,24001,26040,5890,0,5890,31930
535,24002,93742,59534,44,59490,153276
536,24003,40266,27200,0,27200,67466
537,24004,11685,22154,558,21596,33839
538,24005,23556,16008,0,16008,39564
539,24006,28496,11793,0,11793,40289
540,24007,28157,0,0,0,28157
541,25001,189514,4471,952,3519,193985
542,25002,13391,3154,3154,0,16545
543,25003,8225,4055,468,3587,12280
544,26001,230433,225206,609,224597,455639
