"OBJECTID","CMP_ID","CFRAG1","CFRAG2","DEPTH","RESTR_TYPE","AWHC"
411,37600305,"A","A","5","-","5"
412,37600306,"A","A","5","-","5"
413,37600307,"A","A","5","-","2"
414,37600308,"A","A","5","-","5"
415,37600309,"A","A","5","-","5"
416,37600401,"A","B","5","-","3"
417,37600402,"B","B","5","-","5"
418,37600403,"A","A","5","-","5"
419,37600404,"A","A","5","-","5"
420,37600405,"A","A","5","-","4"
421,37600406,"-","-","-","-","-"
422,37600407,"A","B","5","-","3"
423,37600408,"A","A","5","-","5"
424,37600409,"A","A","5","-","1"
425,37700101,"-","-","-","-","-"
426,37700102,"B","B","3","LI","3"
427,37700103,"A","A","5","-","5"
428,37700104,"A","A","5","-","5"
429,37700105,"A","A","5","-","5"
430,37700106,"B","B","5","-","3"
431,37700107,"A","A","5","-","5"
432,37700108,"A","A","5","-","5"
433,37700109,"A","A","5","-","1"
434,37800301,"A","A","5","-","5"
435,37800302,"A","A","5","-","5"
436,37800303,"A","A","5","-","5"
437,37800304,"-","-","-","-","-"
438,37900101,"A","A","5","-","5"
439,37900102,"A","A","5","-","5"
440,37900103,"A","A","5","-","5"
441,37900104,"A","A","5","-","5"
442,37900105,"A","B","5","-","3"
443,37900106,"A","B","5","-","3"
444,37900107,"A","A","5","-","1"
445,37900108,"A","A","5","-","5"
446,37900201,"A","A","5","-","5"
447,37900202,"A","A","5","-","5"
448,37900203,"A","A","5","-","3"
449,37900204,"A","A","5","-","5"
450,37900205,"A","A","5","-","5"
451,37900206,"A","A","5","-","5"
452,37900207,"A","A","5","-","1"
453,37900208,"A","A","5","-","2"
454,37900209,"A","A","5","-","5"
455,37900301,"A","A","5","-","1"
456,37900302,"A","B","5","-","3"
457,37900303,"A","B","5","-","3"
458,37900304,"A","A","5","-","3"
459,37900305,"B","B","5","-","3"
460,37900306,"A","A","5","-","5"
461,37900307,"A","A","5","-","4"
462,37900308,"A","A","5","-","1"
463,37900309,"A","A","5","-","5"
464,37900401,"A","B","5","-","3"
465,37900402,"A","A","5","-","1"
466,37900403,"A","A","5","-","1"
467,37900404,"A","A","5","-","5"
468,37900405,"A","A","5","-","4"
469,37900406,"A","A","5","-","5"
470,37900407,"A","A","5","-","4"
471,37900408,"A","A","5","-","5"
472,38000101,"A","A","5","-","1"
473,38000102,"A","A","5","-","1"
474,38000103,"A","A","5","-","1"
475,38000104,"A","A","5","-","3"
476,38000105,"A","A","5","-","5"
477,38000106,"A","A","5","-","5"
478,38000107,"A","A","5","-","3"
479,38000108,"A","B","5","-","3"
480,38000109,"A","A","5","-","4"
481,38000201,"A","A","5","-","5"
482,38000202,"A","A","5","-","5"
483,38000203,"A","A","5","-","5"
484,38000204,"A","A","5","-","4"
485,38000205,"B","B","5","-","5"
486,38000206,"A","B","5","-","3"
487,38000207,"A","A","5","-","5"
488,38000208,"A","A","5","-","1"
