"OBJECTID","POLY_ID","LF_TYPE","LF_SLOPE","LF_SEGMENT","PERCENT_","CROPPED","PROVINCE","SOIL_CODE","MODIFIER","PROFILE","LF_ID","LFS_ID","SOIL_ID"
25,375002,"U","A","M",10.000000,"H","MB","WHU","~~~~~","A","375002UA","UAM","MBWHU~~~~~A"
26,375002,"U","A","L",7.500000,"H","MB","WHU","~~~~~","A","375002UA","UAL","MBWHU~~~~~A"
27,375002,"U","A","U",5.000000,"H","MB","THG","~~~~~","A","375002UA","UAU","MBTHG~~~~~A"
28,375002,"U","A","M",15.000000,"L","MB","PIY","~~~~~","A","375002UA","UAM","MBPIY~~~~~A"
29,375002,"U","A","U",5.000000,"M","MB","LTI","~~~~~","A","375002UA","UAU","MBLTI~~~~~A"
30,375002,"U","A","D",4.500000,"M","MB","WGE","~~~~~","A","375002UA","UAD","MBWGE~~~~~A"
31,375002,"U","A","D",7.500000,"M","MB","FYL","pd~~~","A","375002UA","UAD","MBFYLpd~~~A"
32,375002,"U","A","U",6.000000,"L","MB","WOG","~~~~~","A","375002UA","UAU","MBWOG~~~~~A"
33,375003,"L","A","L",27.600000,"L","MB","OKO","~~~~~","N","375003LA","LAL","MBOKO~~~~~N"
34,375003,"L","A","D",4.599999,"L","MB","STD","~~~~~","A","375003LA","LAD","MBSTD~~~~~A"
35,375003,"L","A","M",41.400001,"L","MB","CAY","d~~~~","A","375003LA","LAM","MBCAYd~~~~A"
36,375003,"L","A","M",3.599999,"H","MB","THG","~~~~~","A","375003LA","LAM","MBTHG~~~~~A"
37,375003,"L","A","D",4.599999,"L","MB","WKW","~~~~~","N","375003LA","LAD","MBWKW~~~~~N"
38,375003,"L","A","L",2.000000,"H","MB","FYL","d~~~~","A","375003LA","LAL","MBFYLd~~~~A"
39,375003,"L","A","D",0.800000,"M","MB","FYL","d~~~~","A","375003LA","LAD","MBFYLd~~~~A"
40,375003,"L","A","L",4.599999,"L","MB","CAY","d~~~~","A","375003LA","LAL","MBCAYd~~~~A"
41,375003,"L","A","L",9.199999,"L","MB","WKW","~~~~~","N","375003LA","LAL","MBWKW~~~~~N"
42,375003,"L","A","L",1.600000,"H","MB","THG","~~~~~","A","375003LA","LAL","MBTHG~~~~~A"
43,375004,"L","A","L",10.000000,"L","MB","OOK","~~~~~","N","375004LA","LAL","MBOOK~~~~~N"
44,375004,"L","A","M",8.000000,"H","MB","THG","~~~~~","A","375004LA","LAM","MBTHG~~~~~A"
45,375004,"L","A","D",10.000000,"L","MB","STD","~~~~~","A","375004LA","LAD","MBSTD~~~~~A"
46,375004,"L","A","L",20.000000,"L","MB","KMK","~~~~~","N","375004LA","LAL","MBKMK~~~~~N"
47,375004,"L","A","M",15.000000,"L","MB","FYL","p~~~~","A","375004LA","LAM","MBFYLp~~~~A"
48,375004,"L","A","M",15.000000,"L","MB","CAY","~~~~~","A","375004LA","LAM","MBCAY~~~~~A"
49,375004,"L","A","L",15.000000,"L","MB","BYH","~~~~~","A","375004LA","LAL","MBBYH~~~~~A"
50,375004,"L","A","M",7.000000,"L","MB","OOK","~~~~~","N","375004LA","LAM","MBOOK~~~~~N"
51,375005,"L","A","L",6.000000,"L","MB","CAY","~~~~~","A","375005LA","LAL","MBCAY~~~~~A"
52,375005,"L","A","M",18.000000,"L","MB","OKO","~~~~~","N","375005LA","LAM","MBOKO~~~~~N"
53,375005,"L","A","L",12.000000,"L","MB","OKO","~~~~~","N","375005LA","LAL","MBOKO~~~~~N"
54,375005,"L","A","D",4.000000,"L","MB","CAY","~~~~~","A","375005LA","LAD","MBCAY~~~~~A"
55,375005,"U","A","M",12.500000,"M","MB","PIY","~~~~~","A","375005UA","UAM","MBPIY~~~~~A"
56,375005,"U","A","U",5.000000,"M","MB","CRK","~~~~~","A","375005UA","UAU","MBCRK~~~~~A"
57,375005,"U","A","D",3.799999,"L","MB","MEB","p~~~~","A","375005UA","UAD","MBMEBp~~~~A"
58,375005,"U","A","L",3.799999,"L","MB","MEB","p~~~~","A","375005UA","UAL","MBMEBp~~~~A"
59,375005,"U","B","U",3.500000,"M","MB","LTI","~~~~~","A","375005UB","UBU","MBLTI~~~~~A"
60,375005,"U","B","M",5.300000,"M","MB","LTI","~~~~~","A","375005UB","UBM","MBLTI~~~~~A"
61,375005,"U","B","M",10.500000,"H","MB","MTG","~~~~~","A","375005UB","UBM","MBMTG~~~~~A"
62,375005,"U","B","L",7.000000,"M","MB","FYL","~~~~~","A","375005UB","UBL","MBFYL~~~~~A"
63,375005,"U","B","D",3.500000,"L","MB","FYL","p~~~~","A","375005UB","UBD","MBFYLp~~~~A"
64,375005,"U","B","U",5.300000,"L","MB","$AR","~~~~~","N","375005UB","UBU","MB$AR~~~~~N"
65,375006,"L","A","M",12.000000,"H","MB","DCS","~~~~~","A","375006LA","LAM","MBDCS~~~~~A"
66,375006,"L","A","M",8.000000,"H","MB","SFT","d~~~~","A","375006LA","LAM","MBSFTd~~~~A"
67,375006,"L","A","M",10.000000,"H","MB","RIV","~~~~~","A","375006LA","LAM","MBRIV~~~~~A"
68,375006,"L","A","D",5.000000,"L","MB","CAY","~~~~~","A","375006LA","LAD","MBCAY~~~~~A"
69,375006,"L","A","L",10.000000,"H","MB","SFT","d~~~~","A","375006LA","LAL","MBSFTd~~~~A"
70,375006,"L","A","L",35.000000,"H","MB","GOO","d~~~~","A","375006LA","LAL","MBGOOd~~~~A"
71,375006,"L","A","D",5.000000,"M","MB","TRO","pd~~~","A","375006LA","LAD","MBTROpd~~~A"
72,375006,"L","A","M",15.000000,"H","MB","FYL","d~~~~","A","375006LA","LAM","MBFYLd~~~~A"
73,375007,"L","A","L",3.799999,"L","MB","FYL","p~~~~","A","375007LA","LAL","MBFYLp~~~~A"
74,375007,"L","A","L",12.800000,"L","MB","KMK","~~~~~","N","375007LA","LAL","MBKMK~~~~~N"
75,375007,"L","A","D",1.500000,"L","MB","FYL","p~~~~","A","375007LA","LAD","MBFYLp~~~~A"
76,375007,"L","A","L",25.500000,"L","MB","BYH","~~~~~","A","375007LA","LAL","MBBYH~~~~~A"
77,375007,"L","A","D",8.500000,"L","MB","STD","~~~~~","A","375007LA","LAD","MBSTD~~~~~A"
78,375007,"L","A","M",2.299999,"M","MB","FYL","pd~~~","A","375007LA","LAM","MBFYLpd~~~A"
79,375007,"L","A","L",3.000000,"M","MB","FYL","pd~~~","A","375007LA","LAL","MBFYLpd~~~A"
80,375007,"L","A","M",12.800000,"L","MB","CAY","~~~~~","A","375007LA","LAM","MBCAY~~~~~A"
81,375007,"L","A","M",25.500000,"L","MB","OOK","~~~~~","N","375007LA","LAM","MBOOK~~~~~N"
82,375007,"L","A","M",4.500000,"H","MB","THG","~~~~~","A","375007LA","LAM","MBTHG~~~~~A"
83,375008,"H","B","L",18.799999,"L","MB","CIO","~~~~~","A","375008HB","HBL","MBCIO~~~~~A"
84,375008,"H","B","M",3.799999,"L","MB","CRK","~~~~~","A","375008HB","HBM","MBCRK~~~~~A"
85,375008,"H","B","U",22.500000,"L","MB","SDI","~~~~~","A","375008HB","HBU","MBSDI~~~~~A"
86,375008,"H","B","M",22.500000,"L","MB","WOG","~~~~~","A","375008HB","HBM","MBWOG~~~~~A"
87,375008,"H","B","D",7.500000,"L","MB","CIO","~~~~~","A","375008HB","HBD","MBCIO~~~~~A"
88,375008,"L","A","L",2.500000,"M","MB","FYL","p~~~~","A","375008LA","LAL","MBFYLp~~~~A"
89,375008,"L","A","M",6.300000,"M","MB","FOY","p~~~~","N","375008LA","LAM","MBFOYp~~~~N"
90,375008,"L","A","M",5.000000,"H","MB","WMP","~~~~~","A","375008LA","LAM","MBWMP~~~~~A"
91,375008,"L","A","D",2.500000,"M","MB","FYL","p~~~~","A","375008LA","LAD","MBFYLp~~~~A"
92,375008,"L","A","L",8.800000,"M","MB","FOY","p~~~~","N","375008LA","LAL","MBFOYp~~~~N"
93,375009,"L","A","M",10.000000,"M","MB","FYL","p~~~~","A","375009LA","LAM","MBFYLp~~~~A"
94,375009,"L","A","M",10.000000,"L","MB","OOK","~~~~~","N","375009LA","LAM","MBOOK~~~~~N"
95,375009,"L","A","L",20.000000,"L","MB","BYH","~~~~~","A","375009LA","LAL","MBBYH~~~~~A"
96,375009,"L","A","D",10.000000,"L","MB","STD","~~~~~","A","375009LA","LAD","MBSTD~~~~~A"
97,375009,"L","A","M",15.000000,"L","MB","BYH","~~~~~","A","375009LA","LAM","MBBYH~~~~~A"
98,375009,"L","A","L",25.000000,"L","MB","KMK","~~~~~","N","375009LA","LAL","MBKMK~~~~~N"
99,375009,"L","A","M",10.000000,"L","MB","STD","~~~~~","A","375009LA","LAM","MBSTD~~~~~A"
100,375010,"L","A","M",11.000000,"L","MB","OOK","~~~~~","N","375010LA","LAM","MBOOK~~~~~N"
101,375010,"L","A","L",25.000000,"L","MB","BYH","~~~~~","A","375010LA","LAL","MBBYH~~~~~A"
102,375010,"L","A","M",15.000000,"L","MB","CAY","~~~~~","A","375010LA","LAM","MBCAY~~~~~A"
103,375010,"L","A","M",8.000000,"L","MB","FYL","p~~~~","A","375010LA","LAM","MBFYLp~~~~A"
104,375010,"L","A","L",5.000000,"L","MB","OOK","~~~~~","N","375010LA","LAL","MBOOK~~~~~N"
105,375010,"L","A","L",15.000000,"L","MB","KMK","~~~~~","N","375010LA","LAL","MBKMK~~~~~N"
106,375010,"L","A","D",10.000000,"L","MB","STD","~~~~~","A","375010LA","LAD","MBSTD~~~~~A"
107,375010,"L","A","M",4.000000,"H","MB","SFT","pd~~~","A","375010LA","LAM","MBSFTpd~~~A"
108,375010,"L","A","M",7.000000,"M","MB","FYL","pd~~~","A","375010LA","LAM","MBFYLpd~~~A"
109,375011,"L","A","L",14.300000,"L","MB","BYH","~~~~~","A","375011LA","LAL","MBBYH~~~~~A"
110,375011,"L","A","M",19.000000,"L","MB","BYH","~~~~~","A","375011LA","LAM","MBBYH~~~~~A"
111,375011,"L","A","D",9.500000,"L","MB","STD","~~~~~","A","375011LA","LAD","MBSTD~~~~~A"
112,375011,"L","A","M",9.500000,"L","MB","CAY","~~~~~","A","375011LA","LAM","MBCAY~~~~~A"
113,375011,"L","A","L",9.500000,"L","MB","STD","~~~~~","A","375011LA","LAL","MBSTD~~~~~A"
114,375011,"L","A","L",19.000000,"L","MB","KMK","~~~~~","N","375011LA","LAL","MBKMK~~~~~N"
115,375011,"L","A","M",9.500000,"L","MB","OOK","~~~~~","N","375011LA","LAM","MBOOK~~~~~N"
116,375011,"L","A","M",4.800000,"L","MB","FYL","p~~~~","A","375011LA","LAM","MBFYLp~~~~A"
117,375011,"R","A","M",2.799999,"M","MB","WOG","~~~~~","A","375011RA","RAM","MBWOG~~~~~A"
118,375011,"R","A","L",1.000000,"L","MB","MNT","p~~~~","A","375011RA","RAL","MBMNTp~~~~A"
119,375011,"R","A","D",0.300000,"L","MB","MNT","p~~~~","A","375011RA","RAD","MBMNTp~~~~A"
120,375011,"R","A","U",1.000000,"M","MB","WOG","~~~~~","A","375011RA","RAU","MBWOG~~~~~A"
121,375012,"L","A","L",9.000000,"L","MB","CAY","~~~~~","A","375012LA","LAL","MBCAY~~~~~A"
122,375012,"L","A","D",2.000000,"L","MB","CAY","~~~~~","A","375012LA","LAD","MBCAY~~~~~A"
123,375012,"L","A","M",9.000000,"L","MB","OOK","~~~~~","N","375012LA","LAM","MBOOK~~~~~N"
124,375012,"U","A","D",12.000000,"L","MB","KRY","p~~~~","A","375012UA","UAD","MBKRYp~~~~A"
125,375012,"U","A","M",14.399999,"M","MB","WGE","~~~~~","A","375012UA","UAM","MBWGE~~~~~A"
126,375012,"U","A","M",9.600000,"L","MB","WOG","~~~~~","A","375012UA","UAM","MBWOG~~~~~A"
127,375012,"U","A","U",16.000000,"L","MB","WOG","~~~~~","A","375012UA","UAU","MBWOG~~~~~A"
128,375012,"U","A","L",12.000000,"M","MB","CIO","~~~~~","A","375012UA","UAL","MBCIO~~~~~A"
129,375012,"U","A","M",16.000000,"L","MB","SDI","~~~~~","A","375012UA","UAM","MBSDI~~~~~A"
130,375013,"L","A","M",5.500000,"M","MB","MDK","~~~~~","A","375013LA","LAM","MBMDK~~~~~A"
131,375013,"L","A","M",5.500000,"L","MB","SUW","p~~~~","N","375013LA","LAM","MBSUWp~~~~N"
132,375013,"L","A","M",5.500000,"M","MB","PAN","~~~~~","A","375013LA","LAM","MBPAN~~~~~A"
133,375013,"L","A","D",5.500000,"L","MB","MNT","p~~~~","A","375013LA","LAD","MBMNTp~~~~A"
134,375013,"L","A","M",8.300000,"L","MB","BYD","~~~~~","N","375013LA","LAM","MBBYD~~~~~N"
135,375013,"L","A","L",24.799999,"L","MB","MNT","p~~~~","A","375013LA","LAL","MBMNTp~~~~A"
136,375013,"L","A","D",3.000000,"L","MB","RTV","~~~~~","N","375013LA","LAD","MBRTV~~~~~N"
137,375013,"L","A","L",13.500000,"L","MB","RTV","~~~~~","N","375013LA","LAL","MBRTV~~~~~N"
138,375013,"L","A","M",13.500000,"L","MB","KIC","~~~~~","A","375013LA","LAM","MBKIC~~~~~A"
139,375013,"R","A","D",0.800000,"L","MB","SUW","p~~~~","N","375013RA","RAD","MBSUWp~~~~N"
140,375013,"R","A","M",8.300000,"M","MB","WOG","~~~~~","A","375013RA","RAM","MBWOG~~~~~A"
141,375013,"R","A","U",3.000000,"M","MB","WOG","~~~~~","A","375013RA","RAU","MBWOG~~~~~A"
142,375013,"R","A","L",3.000000,"L","MB","BYD","~~~~~","N","375013RA","RAL","MBBYD~~~~~N"
143,375014,"L","A","L",14.300000,"L","MB","STD","~~~~~","A","375014LA","LAL","MBSTD~~~~~A"
144,375014,"L","A","D",9.500000,"L","MB","STD","~~~~~","A","375014LA","LAD","MBSTD~~~~~A"
145,375014,"L","A","L",14.300000,"L","MB","KMK","~~~~~","N","375014LA","LAL","MBKMK~~~~~N"
146,375014,"L","A","L",14.300000,"L","MB","BYH","~~~~~","A","375014LA","LAL","MBBYH~~~~~A"
147,375014,"L","A","M",16.100000,"L","MB","KIC","~~~~~","A","375014LA","LAM","MBKIC~~~~~A"
148,375014,"L","A","M",17.100000,"L","MB","CAY","~~~~~","A","375014LA","LAM","MBCAY~~~~~A"
149,375014,"L","A","M",9.500000,"L","MB","BYH","~~~~~","A","375014LA","LAM","MBBYH~~~~~A"
150,375014,"R","A","L",1.000000,"L","MB","MEB","p~~~~","A","375014RA","RAL","MBMEBp~~~~A"
151,375014,"R","A","M",2.799999,"M","MB","WOG","~~~~~","A","375014RA","RAM","MBWOG~~~~~A"
152,375014,"R","A","D",0.300000,"L","MB","MEB","p~~~~","A","375014RA","RAD","MBMEBp~~~~A"
153,375014,"R","A","U",1.000000,"M","MB","WOG","~~~~~","A","375014RA","RAU","MBWOG~~~~~A"
154,376001,"H","B","D",1.000000,"L","MB","FYL","~~~~~","A","376001HB","HBD","MBFYL~~~~~A"
155,376001,"H","B","L",2.500000,"M","MB","LTI","~~~~~","A","376001HB","HBL","MBLTI~~~~~A"
156,376001,"H","B","U",3.000000,"M","MB","LTI","~~~~~","A","376001HB","HBU","MBLTI~~~~~A"
157,376001,"H","B","M",3.500000,"M","MB","LTI","~~~~~","A","376001HB","HBM","MBLTI~~~~~A"
158,376001,"H","C","D",5.000000,"L","MB","NOL","~~~~~","N","376001HC","HCD","MBNOL~~~~~N"
159,376001,"H","C","L",5.000000,"L","MB","NOL","~~~~~","N","376001HC","HCL","MBNOL~~~~~N"
160,376001,"H","C","L",7.500000,"L","MB","$AR","~~~~~","N","376001HC","HCL","MB$AR~~~~~N"
161,376001,"H","C","M",17.500000,"L","MB","$AR","~~~~~","N","376001HC","HCM","MB$AR~~~~~N"
162,376001,"H","C","U",15.000000,"L","MB","$AR","~~~~~","N","376001HC","HCU","MB$AR~~~~~N"
163,376001,"L","A","D",4.000000,"L","MB","KMK","~~~~~","N","376001LA","LAD","MBKMK~~~~~N"
164,376001,"L","A","L",8.000000,"L","MB","BYH","~~~~~","A","376001LA","LAL","MBBYH~~~~~A"
165,376001,"L","A","L",10.000000,"L","MB","KMK","~~~~~","N","376001LA","LAL","MBKMK~~~~~N"
166,376001,"L","A","M",18.000000,"L","MB","BYH","~~~~~","A","376001LA","LAM","MBBYH~~~~~A"
167,376002,"H","B","L",4.500000,"M","MB","THG","~~~~~","A","376002HB","HBL","MBTHG~~~~~A"
168,376002,"H","B","M",15.800000,"M","MB","LTI","~~~~~","A","376002HB","HBM","MBLTI~~~~~A"
169,376002,"H","B","D",4.500000,"L","MB","FYL","p~~~~","A","376002HB","HBD","MBFYLp~~~~A"
170,376002,"H","B","U",4.500000,"L","MB","CAD","~~~~~","N","376002HB","HBU","MBCAD~~~~~N"
171,376002,"H","B","U",9.000000,"M","MB","LTI","~~~~~","A","376002HB","HBU","MBLTI~~~~~A"
172,376002,"H","B","L",6.800000,"M","MB","LTI","~~~~~","A","376002HB","HBL","MBLTI~~~~~A"
173,376002,"H","C","U",12.000000,"L","MB","$AR","~~~~~","N","376002HC","HCU","MB$AR~~~~~N"
174,376002,"H","C","L",10.000000,"L","MB","NOL","~~~~~","N","376002HC","HCL","MBNOL~~~~~N"
175,376002,"H","C","M",14.000000,"L","MB","$AR","~~~~~","N","376002HC","HCM","MB$AR~~~~~N"
176,376002,"H","C","D",4.000000,"L","MB","NOL","~~~~~","N","376002HC","HCD","MBNOL~~~~~N"
177,376002,"L","A","D",1.500000,"L","MB","KMK","~~~~~","N","376002LA","LAD","MBKMK~~~~~N"
178,376002,"L","A","M",6.800000,"L","MB","BYH","~~~~~","A","376002LA","LAM","MBBYH~~~~~A"
179,376002,"L","A","L",3.000000,"L","MB","KMK","~~~~~","N","376002LA","LAL","MBKMK~~~~~N"
180,376002,"L","A","L",3.799999,"L","MB","BYH","~~~~~","A","376002LA","LAL","MBBYH~~~~~A"
181,376003,"H","C","D",7.000000,"L","MB","FYL","p~~~~","A","376003HC","HCD","MBFYLp~~~~A"
182,376003,"H","C","L",3.500000,"L","MB","HUT","~~~~~","N","376003HC","HCL","MBHUT~~~~~N"
183,376003,"H","C","M",24.500000,"L","MB","$AR","~~~~~","N","376003HC","HCM","MB$AR~~~~~N"
184,376003,"H","C","U",21.000000,"L","MB","$AR","~~~~~","N","376003HC","HCU","MB$AR~~~~~N"
185,376003,"H","C","L",3.500000,"M","MB","LTI","~~~~~","A","376003HC","HCL","MBLTI~~~~~A"
186,376003,"H","C","L",10.500000,"L","MB","NOL","~~~~~","N","376003HC","HCL","MBNOL~~~~~N"
187,376003,"L","A","L",6.000000,"L","MB","BYH","~~~~~","A","376003LA","LAL","MBBYH~~~~~A"
188,376003,"L","A","D",3.000000,"L","MB","KMK","~~~~~","N","376003LA","LAD","MBKMK~~~~~N"
189,376003,"L","A","M",3.000000,"L","MB","BYH","~~~~~","A","376003LA","LAM","MBBYH~~~~~A"
190,376003,"L","A","M",4.500000,"L","MB","CAY","~~~~~","A","376003LA","LAM","MBCAY~~~~~A"
191,376003,"L","A","M",6.000000,"L","MB","OOK","~~~~~","N","376003LA","LAM","MBOOK~~~~~N"
192,376003,"L","A","L",7.500000,"L","MB","KMK","~~~~~","N","376003LA","LAL","MBKMK~~~~~N"
193,376004,"H","A","D",7.500000,"L","MB","PGE","p~~~~","N","376004HA","HAD","MBPGEp~~~~N"
194,376004,"H","A","L",18.799999,"L","MB","MEB","p~~~~","A","376004HA","HAL","MBMEBp~~~~A"
195,376004,"H","A","U",22.500000,"M","MB","PIY","~~~~~","A","376004HA","HAU","MBPIY~~~~~A"
196,376004,"H","A","M",11.300000,"L","MB","CIO","~~~~~","A","376004HA","HAM","MBCIO~~~~~A"
197,376004,"H","A","M",3.799999,"M","MB","PIY","~~~~~","A","376004HA","HAM","MBPIY~~~~~A"
198,376004,"H","A","M",11.300000,"M","MB","CRK","~~~~~","A","376004HA","HAM","MBCRK~~~~~A"
199,376004,"L","A","L",11.300000,"L","MB","KMK","~~~~~","N","376004LA","LAL","MBKMK~~~~~N"
200,376004,"L","A","D",2.500000,"L","MB","KMK","~~~~~","N","376004LA","LAD","MBKMK~~~~~N"
201,376004,"L","A","M",11.300000,"L","MB","BYH","~~~~~","A","376004LA","LAM","MBBYH~~~~~A"
202,377001,"H","C","M",17.500000,"L","MB","NOL","~~~~~","N","377001HC","HCM","MBNOL~~~~~N"
203,377001,"H","C","D",7.000000,"L","MB","FYL","p~~~~","A","377001HC","HCD","MBFYLp~~~~A"
204,377001,"H","C","L",3.500000,"L","MB","LTI","~~~~~","A","377001HC","HCL","MBLTI~~~~~A"
205,377001,"H","C","L",3.500000,"L","MB","SDI","~~~~~","A","377001HC","HCL","MBSDI~~~~~A"
206,377001,"H","C","U",21.000000,"L","MB","$AR","~~~~~","N","377001HC","HCU","MB$AR~~~~~N"
207,377001,"H","C","M",7.000000,"L","MB","$AR","~~~~~","N","377001HC","HCM","MB$AR~~~~~N"
208,377001,"H","C","L",10.500000,"L","MB","TFD","~~~~~","N","377001HC","HCL","MBTFD~~~~~N"
209,377001,"L","A","L",3.000000,"L","MB","STD","~~~~~","A","377001LA","LAL","MBSTD~~~~~A"
210,377001,"L","A","D",3.000000,"L","MB","STD","~~~~~","A","377001LA","LAD","MBSTD~~~~~A"
211,377001,"L","A","L",10.500000,"L","MB","KMK","~~~~~","N","377001LA","LAL","MBKMK~~~~~N"
212,377001,"L","A","M",13.500000,"L","MB","WKW","~~~~~","N","377001LA","LAM","MBWKW~~~~~N"
213,378003,"M","B","U",25.000000,"L","ON","ZAR","~~~~~","A","378003MB","MBU","ONZAR~~~~~A"
214,378003,"M","B","D",5.000000,"L","ON","EAK","~~~~~","N","378003MB","MBD","ONEAK~~~~~N"
215,378003,"M","B","L",25.000000,"M","ON","ABM","~~~~~","A","378003MB","MBL","ONABM~~~~~A"
216,378003,"M","B","M",45.000000,"M","ON","SUX","~~~~~","N","378003MB","MBM","ONSUX~~~~~N"
217,379001,"L","A","M",8.500000,"L","MB","OOK","~~~~~","N","379001LA","LAM","MBOOK~~~~~N"
218,379001,"L","A","L",25.500000,"L","MB","KMK","~~~~~","N","379001LA","LAL","MBKMK~~~~~N"
219,379001,"L","A","L",12.800000,"L","MB","STD","~~~~~","A","379001LA","LAL","MBSTD~~~~~A"
220,379001,"L","A","D",8.500000,"L","MB","STD","~~~~~","A","379001LA","LAD","MBSTD~~~~~A"
221,379001,"L","A","M",29.799999,"L","MB","BYH","~~~~~","A","379001LA","LAM","MBBYH~~~~~A"
222,379001,"R","A","L",3.000000,"M","MB","CIO","~~~~~","A","379001RA","RAL","MBCIO~~~~~A"
223,379001,"R","A","D",0.800000,"L","MB","FYL","p~~~~","A","379001RA","RAD","MBFYLp~~~~A"
224,379001,"R","A","U",3.000000,"M","MB","WOG","~~~~~","A","379001RA","RAU","MBWOG~~~~~A"
225,379001,"R","A","M",1.500000,"M","MB","WOG","~~~~~","A","379001RA","RAM","MBWOG~~~~~A"
226,379001,"R","A","M",1.500000,"M","MB","CIO","~~~~~","A","379001RA","RAM","MBCIO~~~~~A"
227,379001,"R","A","M",5.300000,"M","MB","PIY","~~~~~","A","379001RA","RAM","MBPIY~~~~~A"
228,379002,"L","A","M",10.500000,"L","MB","RTV","~~~~~","N","379002LA","LAM","MBRTV~~~~~N"
229,379002,"L","A","M",21.000000,"L","MB","KIC","~~~~~","A","379002LA","LAM","MBKIC~~~~~A"
230,379002,"L","A","M",3.000000,"L","MB","KRY","p~~~~","A","379002LA","LAM","MBKRYp~~~~A"
231,379002,"L","A","L",13.500000,"L","MB","KRY","p~~~~","A","379002LA","LAL","MBKRYp~~~~A"
232,379002,"L","A","M",5.099999,"M","MB","LSD","~~~~~","A","379002LA","LAM","MBLSD~~~~~A"
233,379002,"L","A","D",7.000000,"L","MB","STD","~~~~~","A","379002LA","LAD","MBSTD~~~~~A"
234,379002,"L","A","L",10.500000,"L","MB","KMK","~~~~~","N","379002LA","LAL","MBKMK~~~~~N"
235,379002,"L","A","L",21.000000,"L","MB","BYH","~~~~~","A","379002LA","LAL","MBBYH~~~~~A"
236,379002,"L","A","D",3.000000,"L","MB","FYL","p~~~~","A","379002LA","LAD","MBFYLp~~~~A"
237,379002,"L","A","M",5.400000,"M","MB","MNT","d~~~~","A","379002LA","LAM","MBMNTd~~~~A"
238,379003,"L","A","L",6.800000,"L","MB","BYH","~~~~~","A","379003LA","LAL","MBBYH~~~~~A"
239,379003,"L","A","M",6.800000,"L","MB","CAY","~~~~~","A","379003LA","LAM","MBCAY~~~~~A"
240,379003,"L","A","D",1.500000,"L","MB","BYH","~~~~~","A","379003LA","LAD","MBBYH~~~~~A"
241,379003,"R","B","L",2.299999,"M","MB","CIO","~~~~~","A","379003RB","RBL","MBCIO~~~~~A"
242,379003,"R","B","D",0.800000,"L","MB","KRY","p~~~~","A","379003RB","RBD","MBKRYp~~~~A"
